Mes,Empresa,Funcionarios_com_emprestimo,Emprestimos_Ativos,Emprestimos_Liquidados,Emprestimos_Renegociados
1,Empresa X,99,56,28,11
2,Empresa X,102,57,30,8
3,Empresa X,96,53,30,9
4,Empresa X,100,61,31,9
5,Empresa X,103,59,28,10
6,Empresa X,103,59,29,9
7,Empresa X,102,61,33,10
8,Empresa X,97,61,29,10
9,Empresa X,112,60,30,8
10,Empresa X,101,63,32,9
11,Empresa X,88,60,27,11
12,Empresa X,89,65,30,10
13,Empresa X,105,60,33,7
14,Empresa X,98,65,27,10
15,Empresa X,98,63,27,9
16,Empresa X,93,56,30,9
17,Empresa X,100,63,31,10
18,Empresa X,101,62,30,10
19,Empresa X,96,62,28,7
20,Empresa X,102,59,30,9
21,Empresa X,99,61,29,11
22,Empresa X,110,61,29,10
23,Empresa X,98,55,29,9
24,Empresa X,103,57,31,8
25,Empresa X,500,400,5,200
